                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 269  | 1125  | 1E5  | 10D | 7H  | 4D  | untetrunhexeleven                 | untetrunhexelevenary                | URN  |
| 270  | 1130  | 1E6  | 10E | 7I  | 4E  | decatrinon                        | decatrinonary                       | DER  |
| 271  | 1131  | 1E7  | 10F | 7J  | 4F  | undecatrinon                      | undecatrinonary                     | UDR  |
| 272  | 1132  | 1E8  | 110 | 7K  | 4G  | tessersubopt                      | tessersuboptimal                    | TSR  |
| 273  | 1133  | 1E9  | 111 | 7L  | 4H  | bakertrisept                      | bakertriseptimal                    | BRT  |
| 274  | 1134  | 1EE  | 112 | 7M  | 4I  | binoctosubopt                     | binoctosuboptimal                   | BCS  |
| 275  | 1135  | 1EX  | 113 | 7N  | 4J  | levapentaquin                     | levapentaquinary                    | LEP  |
| 276  | 1140  | 1X0  | 114 | 7O  | 4K  | dozunbieleven                     | dozunbielevenary                    | DZN  |
| 277  | 1141  | 1X1  | 115 | 7P  | 4L  | undozunbieleven                   | undozunbielevenary                  | UDB  |
| 278  | 1142  | 1X2  | 116 | 7Q  | 4M  | binhexunbieleven                  | binhexunbielevenary                 | BXN  |
| 279  | 1143  | 1X3  | 117 | 7R  | 4N  | ennunpentasex                     | ennunpentaseximal                   | EPN  |
| 280  | 1144  | 1X4  | 118 | 7S  | 4O  | biheptaviges                      | biheptavigesimal                    | BIV  |
| 281  | 1145  | 1X5  | 119 | 7T  | 4P  | unbiheptaviges                    | unbiheptavigesimal                  | UBV  |
| 282  | 1150  | 1X6  | 11A | 7U  | 4Q  | hexunbinbieleven                  | hexunbinbielevenary                 | HNB  |
| 283  | 1151  | 1X7  | 11B | 7V  | 4R  | unhexunbinbieleven                | unhexunbinbielevenary               | UHB  |
| 284  | 1152  | 1X8  | 11C | 7W  | 4S  | tetrunheptages                    | tetrunheptagesimal                  | THP  |
| 285  | 1153  | 1X9  | 11D | 7X  | 4T  | tripentuntrisex                   | tripentuntriseximal                 | TPT  |
| 286  | 1154  | 1XE  | 11E | 7Y  | 4U  | bakerbieleven                     | bakerbielevenary                    | BAB  |
| 287  | 1155  | 1XX  | 11F | 7Z  | 4V  | heptunpentoct                     | heptunpentoctal                     | HPC  |
| 288  | 1200  | 200  | 120 | 80  | 4W  | octonift                          | octoniftimal                        | OCF  |
| 289  | 1201  | 201  | 121 | 81  | 4X  | malsubopt                         | malsuboptimal                       | MAL  |
| 290  | 1202  | 202  | 122 | 82  | 4Y  | decuntetrasept                    | decuntetraseptimal                  | DNT  |
| 291  | 1203  | 203  | 123 | 83  | 4Z  | trinoctodozen                     | trinoctodozenal                     | TNC  |
| 292  | 1204  | 204  | 124 | 84  | 4a  | tetrunoctonon                     | tetrunoctononary                    | TEC  |
| 293  | 1205  | 205  | 125 | 85  | 4b  | untetrunoctonon                   | untetrunoctononary                  | UTC  |
| 294  | 1210  | 206  | 126 | 86  | 4c  | heptahexasept                     | heptahexaseptimal                   | HPH  |
| 295  | 1211  | 207  | 127 | 87  | 4d  | pentunbintetrasept                | pentunbintetraseptimal              | PTB  |
| 296  | 1212  | 208  | 128 | 88  | 4e  | octunnift                         | octunniftimal                       | ONN  |
| 297  | 1213  | 209  | 129 | 89  | 4f  | levatrinon                        | levatrinonary                       | LVR  |
| 298  | 1214  | 20E  | 12A | 8A  | 4g  | bintetrunnift                     | bintetrunniftimal                   | BNR  |
| 299  | 1215  | 20X  | 12B | 8B  | 4h  | bakerunbieleven                   | bakerunbielevenary                  | BKN  |
| 300  | 1220  | 210  | 12C | 8C  | 4i  | tricent                           | tricentesimal                       | TCN  |
| 301  | 1221  | 211  | 12D | 8D  | 4j  | heptunhexasept                    | heptunhexaseptimal                  | HTH  |
| 302  | 1222  | 212  | 12E | 8E  | 4k  | bindecatriquin                    | bindecatriquinary                   | BDC  |
| 303  | 1223  | 213  | 12F | 8F  | 4l  | trincent                          | trincentesimal                      | TCT  |
| 304  | 1224  | 214  | 130 | 8G  | 4m  | tesseruntrisex                    | tesseruntriseximal                  | TSN  |
| 305  | 1225  | 215  | 131 | 8H  | 4n  | pentunhexages                     | pentunhexagesimal                   | PNH  |
| 306  | 1230  | 216  | 132 | 8I  | 4o  | maltrisex                         | maltriseximal                       | MAT  |
| 307  | 1231  | 217  | 133 | 8J  | 4p  | unmaltrisex                       | unmaltriseximal                     | UNM  |
| 308  | 1232  | 218  | 134 | 8K  | 4q  | levatetrasept                     | levatetraseptimal                   | LTT  |
| 309  | 1233  | 219  | 135 | 8L  | 4r  | trinhexasubopt                    | trinhexasuboptimal                  | TIX  |
| 310  | 1234  | 21E  | 136 | 8M  | 4s  | decunpentasex                     | decunpentaseximal                   | DCP  |
| 311  | 1235  | 21X  | 137 | 8N  | 4t  | undecunpentasex                   | undecunpentaseximal                 | UCP  |
| 312  | 1240  | 220  | 138 | 8O  | 4u  | bakertetrasex                     | bakertetraseximal                   | BRR  |
| 313  | 1241  | 221  | 139 | 8P  | 4v  | unbakertetrasex                   | unbakertetraseximal                 | UBK  |
| 314  | 1242  | 222  | 13A | 8Q  | 4w  | bindozaker's dozen                | bindozaker's dozenal                | BIZ  |
| 315  | 1243  | 223  | 13B | 8R  | 4x  | ennapentasept                     | ennapentaseptimal                   | EPT  |
| 316  | 1244  | 224  | 13C | 8S  | 4y  | tetrunhexaker's dozen             | tetrunhexaker's dozenal             | TTX  |
| 317  | 1245  | 225  | 13D | 8T  | 4z  | untetrunhexaker's dozen           | untetrunhexaker's dozenal           | UTH  |
| 318  | 1250  | 226  | 13E | 8U  | 4-  | hexuntetraker's dozen             | hexuntetraker's dozenal             | HXR  |
| 319  | 1251  | 227  | 13F | 8V  | 4_  | levuntetrasept                    | levuntetraseptimal                  | LNT  |
| 320  | 1252  | 228  | 140 | 8W  | 50  | tesserviges                       | tesservigesimal                     | TEV  |
| 321  | 1253  | 229  | 141 | 8X  | 51  | trinbintetraker's dozen           | trinbintetraker's dozenal           | TBT  |
| 322  | 1254  | 22E  | 142 | 8Y  | 52  | biheptunbieleven                  | biheptunbielevenary                 | BPN  |
| 323  | 1255  | 22X  | 143 | 8Z  | 53  | maluntrisex                       | maluntriseximal                     | MAN  |
| 324  | 1300  | 230  | 144 | 90  | 54  | ennanift                          | ennaniftimal                        | ENF  |
| 325  | 1301  | 231  | 145 | 91  | 55  | bakerpentaquin                    | bakerpentaquinary                   | BAP  |
| 326  | 1302  | 232  | 146 | 92  | 56  | binennatrisex                     | binennatriseximal                   | BTR  |
| 327  | 1303  | 233  | 147 | 93  | 57  | trinennadozen                     | trinennadozenal                     | TRD  |
| 328  | 1304  | 234  | 148 | 94  | 58  | octunpentoct                      | octunpentoctal                      | OTP  |
| 329  | 1305  | 235  | 149 | 95  | 59  | heptunbinbieleven                 | heptunbinbielevenary                | HPB  |
| 330  | 1310  | 236  | 14A | 96  | 5A  | levapentasex                      | levapentaseximal                    | LVP  |
| 331  | 1311  | 237  | 14B | 97  | 5B  | unlevapentasex                    | unlevapentaseximal                  | ULV  |
| 332  | 1312  | 238  | 14C | 98  | 5C  | tetrunbinpentoct                  | tetrunbinpentoctal                  | TTC  |
| 333  | 1313  | 239  | 14D | 99  | 5D  | ennunnift                         | ennunniftimal                       | EFT  |
| 334  | 1314  | 23E  | 14E | 9A  | 5E  | binbinbinpentoct                  | binbinbinpentoctal                  | BBB  |
| 335  | 1315  | 23X  | 14F | 9B  | 5F  | pentunhexeleven                   | pentunhexelevenary                  | PTH  |
| 336  | 1320  | 240  | 150 | 9C  | 5G  | tessertrisept                     | tessertriseptimal                   | TST  |
| 337  | 1321  | 241  | 151 | 9D  | 5H  | untessertrisept                   | untessertriseptimal                 | USS  |
| 338  | 1322  | 242  | 152 | 9E  | 5I  | bakerbiker's dozen                | bakerbiker's dozenal                | BKB  |
| 339  | 1323  | 243  | 153 | 9F  | 5J  | trinheptahex                      | trinheptahex                        | THT  |
| 340  | 1324  | 244  | 154 | 9G  | 5K  | malviges                          | malvigesimal                        | MAV  |
| 341  | 1325  | 245  | 155 | 9H  | 5L  | levunpentasex                     | levunpentaseximal                   | LNP  |
| 342  | 1330  | 246  | 156 | 9I  | 5M  | trihexuntrisex                    | trihexuntriseximal                  | THX  |
| 343  | 1331  | 247  | 157 | 9J  | 5N  | heptaheptasept                    | heptaheptaseptimal                  | HHP  |
| 344  | 1332  | 248  | 158 | 9K  | 5O  | octunhexasept                     | octunhexaseptimal                   | OTH  |
| 345  | 1333  | 249  | 159 | 9L  | 5P  | tripentunbieleven                 | tripentunbielevenary                | TPB  |
| 346  | 1334  | 24E  | 15A | 9M  | 5Q  | bintetrunhexasept                 | bintetrunhexaseptimal               | BTN  |
| 347  | 1335  | 24X  | 15B | 9N  | 5R  | unbintetrunhexasept               | unbintetrunhexaseptimal             | URH  |
| 348  | 1340  | 250  | 15C | 9O  | 5S  | dozuntetrasept                    | dozuntetraseptimal                  | DOT  |
| 349  | 1341  | 251  | 15D | 9P  | 5T  | undozuntetrasept                  | undozuntetraseptimal                | UZT  |
| 350  | 1342  | 252  | 15E | 9Q  | 5U  | decapentasept                     | decapentaseptimal                   | DPN  |
| 351  | 1343  | 253  | 15F | 9R  | 5V  | bakertrinon                       | bakertrinonary                      | BRN  |
| 352  | 1344  | 254  | 160 | 9S  | 5W  | tesserbieleven                    | tesserbielevenary                   | TSB  |
| 353  | 1345  | 255  | 161 | 9T  | 5X  | untesserbieleven                  | untesserbielevenary                 | USR  |
| 354  | 1350  | 256  | 162 | 9U  | 5Y  | hexunbintetrasept                 | hexunbintetraseptimal               | HBN  |
| 355  | 1351  | 257  | 163 | 9V  | 5Z  | pentunheptages                    | pentunheptagesimal                  | PHP  |
| 356  | 1352  | 258  | 164 | 9W  | 5a  | tetrunocteleven                   | tetrunoctelevenary                  | TTL  |
| 357  | 1353  | 259  | 165 | 9X  | 5b  | maltrisept                        | maltriseptimal                      | MLT  |
| 358  | 1354  | 25E  | 166 | 9Y  | 5c  | binbinocteleven                   | binbinoctelevenary                  | BBC  |
| 359  | 1355  | 25X  | 167 | 9Z  | 5d  | unbinbinocteleven                 | unbinbinoctelevenary                | UBL  |
| 360  | 1400  | 260  | 168 | A0  | 5e  | decanift                          | decaniftimal                        | DEF  |
| 361  | 1401  | 261  | 169 | A1  | 5f  | hentrihexasnuntrisex              | hentrihexasnuntriseximal            | HNR  |
| 362  | 1402  | 262  | 16A | A2  | 5g  | binennaviges                      | binennavigesimal                    | BNV  |
| 363  | 1403  | 263  | 16B | A3  | 5h  | levatrieleven                     | levatrielevenary                    | LTR  |
| 364  | 1404  | 264  | 16C | A4  | 5i  | bakertetrasept                    | bakertetraseptimal                  | BKS  |
